calibdensity_B41	depth_calibdensity_B41
0.4566079	0.04678016
0.4520597	0.0469282
0.4469518	0.04707624
0.4483279	0.04722428
0.4480714	0.04737232
0.4525029	0.04752035
0.4518732	0.04766839
0.4507536	0.04781643
0.4528994	0.04796447
0.4509635	0.04811251
0.4497507	0.04826055
0.4429402	0.04840859
0.4459489	0.04855663
0.4499373	0.04870466
0.4430102	0.0488527
0.4454358	0.04900074
0.4421938	0.04914878
0.4393716	0.04929682
0.4431035	0.04944485
0.4418207	0.04959289
0.4403046	0.04974093
0.4423804	0.04988897
0.4396749	0.05003701
0.4380189	0.05018505
0.4403746	0.05033309
0.4420539	0.05048113
0.4375991	0.05062917
0.4363396	0.0507772
0.4415874	0.05092524
0.4429402	0.05107328
0.4382055	0.05122132
0.4362463	0.05136936
0.4376457	0.05151739
0.4391384	0.05166543
0.4389752	0.05181347
0.4393483	0.05196151
0.4386486	0.05210955
0.4413075	0.05225759
0.4405145	0.05240563
0.4404445	0.05255366
0.4415641	0.0527017
0.4411209	0.05284974
0.4407244	0.05299778
0.440118	0.05314582
0.4423804	0.05329386
0.4430102	0.05344189
0.4402113	0.05358993
0.4395116	0.05373797
0.4407478	0.05388601
0.4424037	0.05403405
0.4381122	0.05418209
0.4397215	0.05433013
0.4406311	0.05447816
0.4446661	0.0546262
0.4393017	0.05477424
0.4421938	0.05492228
0.4447361	0.05507032
0.4413075	0.05521836
0.441704	0.0553664
0.4430335	0.05551443
0.4440597	0.05566247
0.4431734	0.05581051
0.4411676	0.05595855
0.4407244	0.05610659
0.4408644	0.05625463
0.4434766	0.05640266
0.4436865	0.0565507
0.4454125	0.05669874
0.4415874	0.05684678
0.4412842	0.05699482
0.4387653	0.05714286
0.4437798	0.0572909
0.440258	0.05743893
0.4405378	0.05758697
0.4408177	0.05773501
0.4398614	0.05788305
0.4449693	0.05803109
0.4411676	0.05817913
0.4394649	0.05832716
0.440911	0.0584752
0.4403512	0.05862324
0.4411209	0.05877128
0.4388352	0.05891932
0.4414708	0.05906736
0.4408644	0.0592154
0.4387419	0.05936344
0.4383221	0.05951147
0.4410276	0.05965951
0.4391617	0.05980755
0.4393017	0.05995559
0.4371326	0.06010363
0.4365495	0.06025166
0.4369926	0.0603997
0.4398848	0.06054774
0.4348002	0.06069578
0.4390218	0.06084382
0.4367128	0.06099186
0.4340539	0.0611399
0.4354766	0.06128794
0.4338672	0.06143598
0.4322113	0.06158401
0.4304853	0.06173205
0.4286894	0.06188009
0.4322813	0.06202813
0.4304154	0.06217616
0.4323745	0.0623242
0.4310918	0.06247224
0.4283862	0.06262028
0.4315116	0.06276832
0.4300422	0.06291636
0.4243979	0.0630644
0.4288527	0.06321243
0.4293658	0.06336048
0.4304387	0.06350851
0.4280597	0.06365655
0.4230451	0.06380459
0.4244678	0.06395262
0.4260305	0.06410067
0.4226719	0.0642487
0.4234882	0.06439675
0.4234882	0.06454478
0.4219722	0.06469282
0.41915	0.06484086
0.4205494	0.0649889
0.4169576	0.06513694
0.4187069	0.06528497
0.423115	0.06543301
0.4161412	0.06558105
0.420013	0.06572909
0.4194765	0.06587712
0.4205728	0.06602517
0.4184503	0.0661732
0.41922	0.06632125
0.4214824	0.06646928
0.4166544	0.06661732
0.4132958	0.06676536
0.4132491	0.0669134
0.4121996	0.06706144
0.4106369	0.06720947
0.4092608	0.06735751
0.4090975	0.06750555
0.4102404	0.06765359
0.4070917	0.06780163
0.4063453	0.06794967
0.4057156	0.0680977
0.4082812	0.06824575
0.4044561	0.06839378
0.405459	0.06854182
0.4049459	0.06868986
0.4078847	0.0688379
0.4083512	0.06898594
0.4092374	0.06913397
0.4091675	0.06928201
0.4082578	0.06943005
0.4084911	0.06957809
0.4068351	0.06972613
0.4065786	0.06987417
0.4086777	0.0700222
0.4056922	0.07017025
0.4080946	0.07031828
0.4067185	0.07046632
0.4058555	0.07061436
0.4057622	0.0707624
0.4088176	0.07091044
0.4051325	0.07105847
0.4020771	0.07120651
0.4024036	0.07135455
0.4015873	0.07150259
0.4015406	0.07165063
0.4012374	0.07179867
0.4011208	0.0719467
0.3998847	0.07209475
0.4011675	0.07224278
0.4009109	0.07239082
0.4021937	0.07253886
0.4014707	0.0726869
0.40308	0.07283494
0.4029634	0.07298297
0.3971558	0.07313102
0.3971558	0.07327905
0.3989983	0.07342709
0.4028934	0.07357513
0.3967126	0.07372317
0.3971091	0.07387121
0.3983686	0.07401925
0.3985319	0.07416728
0.3935639	0.07431532
0.3977156	0.07446336
0.4016806	0.0746114
0.398252	0.07475944
0.3984852	0.07490747
0.3958496	0.07505552
0.3928409	0.07520355
0.3962928	0.07535159
0.3976456	0.07549963
0.3939371	0.07564767
0.3951733	0.07579571
0.3950333	0.07594375
0.3956864	0.07609178
0.3961062	0.07623982
0.392631	0.07638786
0.3955464	0.0765359
0.3912782	0.07668394
0.3936339	0.07683197
0.3901353	0.07698002
0.3891091	0.07712805
0.3895056	0.07727609
0.3902053	0.07742413
0.38701	0.07757217
0.3888292	0.07772021
0.3885493	0.07786825
0.3905318	0.07801628
0.3883861	0.07816432
0.3849342	0.07831236
0.3850274	0.0784604
0.3846543	0.07860844
0.3857272	0.07875647
0.3862636	0.07890452
0.3850041	0.07905255
0.3819487	0.0792006
0.3863569	0.07934863
0.3863336	0.07949667
0.3849575	0.07964471
0.3898788	0.07979275
0.3894356	0.07994078
0.3916047	0.08008882
0.3921878	0.08023686
0.3922112	0.0803849
0.3919546	0.08053294
0.3937738	0.08068097
0.3964561	0.08082902
0.3938671	0.08097705
0.3966427	0.0811251
0.3971558	0.08127313
0.3925377	0.08142117
0.3964794	0.08156921
0.3961762	0.08171725
0.3932841	0.08186529
0.3955698	0.08201332
0.3930508	0.08216136
0.3945435	0.0823094
0.3935173	0.08245744
0.3945435	0.08260548
0.391768	0.08275352
0.3926543	0.08290155
0.3955231	0.0830496
0.3908584	0.08319763
0.3936572	0.08334567
0.3954298	0.08349371
0.3937039	0.08364175
0.3904152	0.08378979
0.3851441	0.08393782
0.3877797	0.08408586
0.3881995	0.0842339
0.3850041	0.08438194
0.3839546	0.08452998
0.3865668	0.08467802
0.3843044	0.08482605
0.3842578	0.0849741
0.3847243	0.08512213
0.3827651	0.08527017
0.3835814	0.08541821
0.3833715	0.08556625
0.3858904	0.08571429
0.3871266	0.08586232
0.3864036	0.08601036
0.383698	0.0861584
0.3837447	0.08630644
0.3849808	0.08645448
0.3851207	0.08660252
0.3884094	0.08675055
0.3881761	0.0868986
0.3890858	0.08704663
0.392631	0.08719467
0.3958496	0.08734271
0.3982986	0.08749074
0.3954065	0.08763879
0.3958496	0.08778682
0.3945435	0.08793487
0.396666	0.0880829
0.3965494	0.08823094
0.3986019	0.08837898
0.3965727	0.08852702
0.3967593	0.08867505
0.3983919	0.08882309
0.3980654	0.08897113
0.3946601	0.08911917
0.3916514	0.08926721
0.3943569	0.08941524
0.3986485	0.08956329
0.3968059	0.08971132
0.3956164	0.08985937
0.3943103	0.0900074
0.3951733	0.09015544
0.3919546	0.09030348
0.3923045	0.09045152
0.3916047	0.09059956
0.3904619	0.09074759
0.3904152	0.09089563
0.389319	0.09104367
0.3913248	0.09119171
0.3917913	0.09133974
0.3861004	0.09148779
0.3876397	0.09163582
0.3896455	0.09178387
0.3844211	0.0919319
0.387803	0.09207994
0.386147	0.09222798
0.388596	0.09237602
0.3832782	0.09252406
0.3836513	0.09267209
0.3799429	0.09282013
0.3800595	0.09296817
0.3790566	0.09311621
0.380456	0.09326425
0.3731091	0.09341229
0.3758379	0.09356032
0.3766776	0.09370837
0.3765143	0.0938564
0.3753248	0.09400444
0.3732723	0.09415248
0.3755114	0.09430052
0.3730624	0.09444856
0.3746718	0.09459659
0.3729458	0.09474463
0.3733423	0.09489267
0.368351	0.09504071
0.3677213	0.09518875
0.3671382	0.09533679
0.3688408	0.09548482
0.3664152	0.09563287
0.3655755	0.0957809
0.3698671	0.09592894
0.3666018	0.09607698
0.3633831	0.09622502
0.3640361	0.09637306
0.3645259	0.09652109
0.3675347	0.09666914
0.3618903	0.09681717
0.3590682	0.09696521
0.3564093	0.09711325
0.3584851	0.09726129
0.3534239	0.09740932
0.352281	0.09755737
0.3512314	0.0977054
0.3533306	0.09785344
0.3545434	0.09800148
0.3535638	0.09814952
0.3560361	0.09829756
0.3557096	0.09844559
0.3593014	0.09859364
0.360281	0.09874167
0.3580186	0.09888971
0.3593014	0.09903775
0.3595113	0.09918579
0.3590682	0.09933383
0.3636163	0.09948187
