calibdensity_B42	depth_calibdensity_B42
	0
	0.0001499475
	0.000299895
	0.0004498426
	0.0005997901
	0.0007497376
	0.0008996851
	0.001049633
	0.00119958
	0.001349528
	0.001499475
	0.001649423
	0.00179937
	0.001949318
	0.002099265
	0.002249213
	0.00239916
	0.002549108
	0.002699055
	0.002849003
	0.00299895
	0.003148898
	0.003298845
	0.003448793
	0.003598741
	0.003748688
	0.003898636
	0.004048583
	0.004198531
	0.004348478
	0.004498425
	0.004648373
	0.004798321
	0.004948268
0.3111613	0.005098216
0.3175987	0.005248163
0.3144966	0.00539811
0.3147765	0.005548058
0.3179485	0.005698006
0.3164325	0.005847953
0.3193713	0.005997901
0.3209106	0.006147848
0.3173887	0.006297796
0.3165491	0.006447743
0.3165491	0.006597691
0.3179719	0.006747638
0.3126074	0.006897586
0.313657	0.007047534
0.3163392	0.007197481
0.3161992	0.007347428
0.3164325	0.007497376
0.3173421	0.007647323
0.3138902	0.007797271
0.3099485	0.007947219
0.3096919	0.008097166
0.3103683	0.008247114
0.3134471	0.008397061
0.3093887	0.008547009
0.3063566	0.008696956
0.3038843	0.008846903
0.307173	0.008996851
0.3074995	0.009146798
0.3036978	0.009296746
0.3041409	0.009446694
0.3034412	0.009596641
0.3015287	0.009746589
0.2999426	0.009896536
0.2980534	0.01004648
0.2967473	0.01019643
0.2973304	0.01034638
0.2969805	0.01049633
0.2936919	0.01064627
0.2942983	0.01079622
0.2947648	0.01094617
0.2900534	0.01109612
0.2855986	0.01124606
0.2863216	0.01139601
0.2853653	0.01154596
0.2798143	0.01169591
0.2800942	0.01184585
0.278205	0.0119958
0.2783682	0.01214575
0.2734236	0.0122957
0.2695985	0.01244564
0.2713245	0.01259559
0.2685956	0.01274554
0.267616	0.01289549
0.2640242	0.01304543
0.2673361	0.01319538
0.2647006	0.01334533
0.2657734	0.01349528
0.2649804	0.01364522
0.2645373	0.01379517
0.2646073	0.01394512
0.2635111	0.01409507
0.2664265	0.01424501
0.267686	0.01439496
0.2673128	0.01454491
0.2703215	0.01469486
0.2676393	0.0148448
0.2740067	0.01499475
0.2719775	0.0151447
0.2735402	0.01529465
0.2755228	0.01544459
0.2759193	0.01559454
0.2758493	0.01574449
0.2784615	0.01589444
0.2774119	0.01604438
0.275616	0.01619433
0.277995	0.01634428
0.2795811	0.01649423
0.2785548	0.01664417
0.2791846	0.01679412
0.2828231	0.01694407
0.2815169	0.01709402
0.2836161	0.01724396
0.2820534	0.01739391
0.2802108	0.01754386
0.2816102	0.01769381
0.2814003	0.01784375
0.2815636	0.0179937
0.2856686	0.01814365
0.2853886	0.0182936
